Date,Open,High,Low,Close,Adj Close,Volume,Stock,ATR_14,EMA_5,Distance_to_EMA_5,EMA_9,Distance_to_EMA_9,EMA_18,Distance_to_EMA_18,EMA_21,Distance_to_EMA_21,EMA_40,Distance_to_EMA_40,EMA_50,Distance_to_EMA_50,EMA_100,Distance_to_EMA_100,Volume_20D_MA,Above_EMA_5,Streak_Above_5,Streak_Below_5,Above_EMA_9,Streak_Above_9,Streak_Below_9,Above_EMA_18,Streak_Above_18,Streak_Below_18,Above_EMA_21,Streak_Above_21,Streak_Below_21,Above_EMA_40,Streak_Above_40,Streak_Below_40,Above_EMA_50,Streak_Above_50,Streak_Below_50,Above_EMA_100,Streak_Above_100,Streak_Below_100,Year,Smooth_Distance_to_EMA_5,Smooth_Distance_to_EMA_9,Smooth_Distance_to_EMA_18,Smooth_Distance_to_EMA_21,Smooth_Distance_to_EMA_40,Smooth_Distance_to_EMA_50,Smooth_Distance_to_EMA_100,EMA5_Rolling_Mean,EMA5_Rolling_Std,Spike,Days_Between_Spikes,Next_Week_Perf,Two_Weeks_Perf,Next_Month_Perf,Three_Months_Perf,Volume_20D_MA_Spike,Volume_Above_20D_MA,Next_Week_Perf_ATR,Next_Week_Perf_Volume_20D_MA,Two_Weeks_Perf_ATR,Two_Weeks_Perf_Volume_20D_MA,Next_Month_Perf_ATR,Next_Month_Perf_Volume_20D_MA,Three_Months_Perf_ATR,Three_Months_Perf_Volume_20D_MA
2007-10-19,153.08999633789062,156.47999572753906,149.66000366210938,149.6699981689453,108.22152709960938,297169900,SPY,1.946427481515067,152.80616423712223,3.1361660681769195,153.5716147620913,3.901616593145974,153.46947807043756,3.799479901492248,153.2608188503485,3.590820681403187,151.98840387548597,2.318405706540659,151.53735378381293,1.8673556148676198,150.0933791893726,0.42338102042728565,143001875.0,False,0,5,False,0,5,False,0,2,False,0,1,False,0,1,False,0,1,False,0,1,2007,1.0896800584480804,1.603305560082722,2.3284091690595377,2.4902180816983717,3.086225309990772,3.1783313713633827,3.199600377214565,0.744043870203312,0.6977873382242362,True,31.0,2.6391374333976327,1.02224814459464,-3.948689606742862,-12.661186062721608,143001875.0,Yes,2.100283595493862,154206871.0,2.196854727608817,163609233.5,2.4252361375458387,196469225.0,2.5214969715413225,207301026.72131148
2008-09-04,126.97000122070312,127.2300033569336,123.95999908447266,124.02999877929688,91.05756378173828,340042500,SPY,2.0692847115652904,126.88335067266127,2.8533518933643904,127.49457569667943,3.4645769173825585,127.80687120197814,3.776872422681265,127.83604060909776,3.80604182980089,128.32220419086605,4.292205411569171,128.76446315567708,4.734464376380203,131.17650064637814,7.14650186708127,214532320.0,False,0,4,False,0,3,False,0,3,False,0,3,False,0,3,False,0,4,False,0,63,2008,1.078495232971144,1.5554923668877936,2.3768400262470712,2.5912564312226216,3.563974642109936,3.9693497052307816,6.039127606955343,0.8215181289495035,0.6761760115293644,True,321.0,1.193262413528812,-3.192775234577895,-11.037654257956333,-29.59767753428399,214532320.0,Yes,2.299856676374163,222773042.0,2.6638568333217076,242575681.0,3.81535663852444,312856289.54545456,5.413548545231894,420403968.73015875
2008-09-15,121.62999725341797,125.6500015258789,119.88999938964844,120.08999633789062,88.16497039794922,483607000,SPY,2.9492857796805247,123.61809567716688,3.5280993392762525,124.6039477212224,4.513951383331772,125.78951098921034,5.699514651319717,126.02199021828342,5.931993880392795,127.10433300413452,7.014336666243892,127.65399461319198,7.563998275301358,130.2722601300657,10.182263792175064,256529800.0,False,0,1,False,0,1,False,0,10,False,0,10,False,0,10,False,0,11,False,0,70,2008,1.1058910333621006,1.5620291373147017,2.360917486194097,2.5775252809630476,3.641672714441135,4.1153380398212365,6.420128626203324,1.0671883685306924,0.8933711726636302,True,11.0,1.0159057855830675,-7.252893121893194,-16.854024882157013,-25.89724325298232,256529800.0,Yes,3.644142913818359,300008335.0,4.121070970807756,330640279.0,4.981915213844993,385908030.6818182,5.693415028708321,448908486.71875
2008-09-17,119.63999938964844,121.8499984741211,116.0,116.61000061035156,85.61009216308594,624095600,SPY,3.5635713849748885,120.94470905421827,4.3347084438667025,122.60452641951204,5.9945258091604785,124.47575802547165,7.865757415120086,124.84222325027619,8.232222639924629,126.36020846538896,9.750207855037402,127.01163436331937,10.401633752967811,129.84309786843846,13.2330972580869,298474355.0,False,0,3,False,0,3,False,0,12,False,0,12,False,0,12,False,0,13,False,0,72,2008,1.1708471982830735,1.6524673414178357,2.468966273247868,2.688764606902167,3.781926765557707,4.274700155400944,6.648264786611776,1.2282254996043078,1.1489993575193114,True,2.0,1.9895375033711051,-0.47166027688793977,-19.58665967561759,-21.207446383237812,298474355.0,Yes,4.2555710928780695,333313714.0,4.517427880423409,355436265.5,5.416038587495877,404668653.6363636,5.750748139119743,454698574.1269841
2008-09-29,119.13999938964844,119.33999633789062,110.97000122070312,111.37999725341797,82.24372863769531,459562300,SPY,4.934998648507254,117.4477365458826,6.067739292464637,119.02652942815911,7.646532174741139,121.20408018534329,9.824082931925318,121.73041496425748,10.350417710839508,124.01505809427051,12.635060840852546,124.89941398408769,13.519416730669718,128.2991013605333,16.919104107115345,388851725.0,False,0,1,False,0,6,False,0,6,False,0,20,False,0,20,False,0,21,False,0,80,2008,1.1887577599666823,1.597312355136561,2.3635014886410555,2.5837240278144304,3.755862917842206,4.313216926004292,6.946672615253843,1.6325195012284575,1.5463629822038831,True,12.0,-5.979526124032532,-9.005206524180515,-15.81971229277148,-21.969827791998505,388851725.0,Yes,5.167713601248605,396537237.0,5.442499596732004,421822133.5,6.7345450512774585,458457359.54545456,5.657029357356548,460177179.9206349
2010-01-21,113.91999816894531,114.2699966430664,111.55999755859375,111.69999694824219,85.07450866699219,344859600,SPY,1.400714329310826,113.41727609993657,1.7172791516943846,113.63776469849319,1.9377677502509982,113.32333850022654,1.6233415519843533,113.16191755701855,1.4619206087763672,112.05798163971079,0.35798469146860157,111.44827856420305,0.2517183840391368,108.22631174875455,3.473685199487633,131958690.0,False,0,2,False,0,2,False,0,1,False,0,1,False,0,1,True,53,0,True,134,0,2010,0.6800588191270689,0.9355379407126236,1.3177029532501852,1.439778300356653,2.340304115374448,2.896814607594953,6.264873287625224,0.6082391581003911,0.30939960168225616,True,479.0,-2.802146230020309,-4.709037287864235,-0.4834317823509219,8.343777931473692,131958690.0,Yes,1.4735716683523996,149656095.0,1.6228573935372492,171315350.0,1.784728121595318,212897521.42857143,1.4086290174914942,196227348.46774194
2010-01-22,111.19999694824219,111.73999786376953,109.08999633789062,109.20999908447266,83.17807006835938,345942400,SPY,1.489285605294364,112.01485042811527,2.8048513436426106,112.75221157568909,3.542212491216432,112.89035540383139,3.6803563193587365,112.80265224133257,3.5926531568599103,111.91905566140649,2.7090565769338326,111.36050289833128,2.15050381385862,108.24579070589749,0.9642083785751652,144670435.0,False,0,3,False,0,3,False,0,2,False,0,2,False,0,2,False,0,1,True,135,0,2010,0.7159744975291349,0.9898269042191121,1.362309792790713,1.478368980960499,2.3365489894390032,2.8693499133487856,6.156063849119111,0.7205991424071023,0.5798767942593719,True,1.0,-1.6665137900207017,-2.334946839795218,0.5493988454820898,11.537403699065269,144670435.0,Yes,1.523143114362444,158863767.0,1.681214577811105,179588894.5,1.8039288112095426,216944463.0,1.4055414771154726,196838720.72580644
2010-04-27,120.6500015258789,121.33999633789062,118.25,118.4800033569336,90.61000061035156,355853300,SPY,1.3857154846191406,120.24212973410431,1.7621263771707163,120.2748214845119,1.79481812757831,119.63354601109774,1.1535426541641414,119.35598587436077,0.8759825174271754,117.63962691946529,0.8403764374683078,116.88022209693493,1.5997812599986645,113.85690003891155,4.623103318022046,171474545.0,False,0,1,False,0,1,False,0,1,False,0,1,True,44,0,True,44,0,True,50,0,2010,0.676433043805338,1.1162166391710318,1.9488301143702729,2.1521510396199015,2.969919264814063,3.247085789599598,4.668443711065866,0.6018382929627542,0.4162418417217173,True,95.0,-0.8102689792935482,-2.2366656404418688,-9.545919030670255,-5.8490885455990576,171474545.0,Yes,1.4878585815429688,181596215.0,1.9445728302001952,208809360.5,2.7412991461815768,269736935.45454544,2.4585824957641034,280129064.3548387
2010-05-06,116.26000213623047,117.0,105.0,112.94000244140625,86.37320709228516,647356600,SPY,2.545715876988002,116.56258452283895,3.6225820814326966,117.78160409610435,4.841601654698096,118.54466583085286,5.604663389446614,118.54530912373534,5.605306682329086,117.71282432081418,4.772821879407928,117.13664904027773,4.196646598871482,114.40005631320044,1.4600538717941873,234289675.0,False,0,3,False,0,3,False,0,3,False,0,3,False,0,3,False,0,2,False,0,1,2010,0.7196028554133271,1.1405273850236992,1.894877968526808,2.0794899595104646,2.9270634348309086,3.2616689868219764,5.002519304204241,0.9107971486765095,0.7863557994002749,True,9.0,2.7005448525163898,-4.781301052902358,-6.596426789969137,-0.0796918411010755,234289675.0,Yes,2.9231436593191966,267644290.0,3.129143251691546,283874667.5,3.1703740853030675,324516217.85714287,2.4974417356851464,284174335.483871
2010-05-07,112.63999938964844,113.7699966430664,109.41000366210938,111.26000213623047,85.08837890625,637558800,SPY,2.7528582981654575,114.79505706063613,3.5350549244056566,116.47728370412958,5.217281567899107,117.77785912615576,6.517856989925292,117.88300848850761,6.6230063522771445,117.39805250693203,6.1380503707015635,116.90619229894254,5.646190162712074,114.33787702256737,3.0778748863369003,259517290.0,False,0,4,False,0,4,False,0,4,False,0,4,False,0,4,False,0,3,False,0,2,2010,0.7558696568631968,1.1907130972729871,1.9463880969246043,2.1288911017725276,2.9616315686282584,3.290916924486007,5.024946534773584,1.0500862500042394,0.9792952121069124,True,1.0,2.363829950495338,-1.9324119041867107,-4.170411019736515,1.015636555565011,259517290.0,Yes,3.0464291163853234,279115034.0,3.236500167846679,294141770.0,3.2016069957188202,329027545.0,2.4873956249606226,283695050.0
